name,website,description,country,city,founded,topic
APPARTOO,http://appartoo.com,A new online marketplace started in France that closely matches roommates based on their lifestyles.,France,Paris,,Home
Apartmate,http://apartmate.ca,A new and fresh marketplace offering rental apartments and roommates that users will love coming home to. It's described as an Airbnb for long-term rental apartments and roommates.,Canada,Toronto,,Home
AnyRoad,http://anyroad.com,A collaborative exploration company driven to enhance the Travel and Tourism industry. AnyRoad connects tourists with unique custom tours with established tour guides and companies.,United States,San Francisco,2012,Services
Ants,http://joinants.com,A long distance ridesharing platform across the Nordic and Baltic countries of Northern Europe.,Denmark,Copenhagen,2012,Transport
Andante,http://www.andante.co/,"A collaborative consumption company that connects aspiring musicians with instruments loaned from their friends, neighbours, or local shops. Andante provides a safe, secure way to share music gear.",United States,San Francisco,2012,Tools & Equipment
Alpinely,http://www.alpinely.com/,"A platform for businesses and homes to order Christmas trees. Everything is covered from Christmas tree species, to delivery, to lights, and even setup.",United States,New York City,2014,House Chores
All-desk,http://all-desk.com,"Described as an Airbnb for offices, All-Desk offers a global marketplace for offering, finding, booking and administering short term meeting rooms, training rooms and shared work spaces.",Portugal,Lisbon,2011,Business
Airtasker,https://www.airtasker.com/,Airtasker is an online and mobile marketplace that connects people and businesses with local community members.,Australia,Sydney,2012,House Chores
Camera Rentals,http://camerarentals.co,Camera equipment rental platform that can issue digital proof of insurance to professionals as well as issue instant loss payee certificates to owners.,United States,San Francisco,,Hobbies
Crehana,http://crehana.com,"A project-based education marketplace where people learn creative skills from industry experts. Anyone can take a class, watch short video lessons and create projects.",Peru,Lima,2015,Education
eloan.co.il,http://www.eloan.co.il,"eLoan.co.il is the first Israeli peer-to-peer lending platform, running since 2012.",Israel,Tel Aviv,2012,Finance
FreshNeck,http://freshneck.com,"FreshNeck, recognised as the 'NetFlix for Neckties' is a subscription service that lets users rent up to three ties, cufflinks, pocket squares and accessories.",United States,New York City,2012,Fashion
Grind,http://www.grindspaces.com,"A members only collaborative workspace launched in NY at the end of 2011, allowing members to work on their own terms and collaborating to get things done.",United States,New York City,2011,Business
InstaEDU,http://instaedu.com,An online platform for students to connect with tutors and receive private tutoring.,United States,San Francisco,2011,Education
Lenderly,http://lenderly.co,"A platform where borrowers can access loans through their social network, helping the borrowers identify those most likely to lend and manages the entire loan process from receipt to repayment to ensure that both the borrower€__s and lender€__s expectations are met.",Israel,Raanana,,Finance
MEGAJOSH,https://megajosh.com,MEGAJOSH is a 24/7 virtual peer-to-peer mobile marketplace for users to buy and sell from their smartphones.,United States,Orlando,2015,Marketplace
Open Capital Exchange,http://ocx.co,A peer-to-peer business lender that connects small business borrowers with investors.,United States,New York City,2013,Finance
OnTASK,http://ontask.in,"An online marketplace, OnTask connects customers with local service providers for all their needs, such as tutors, plumbers, painters, photographers, party planners and more.",India,Mumbai,,House Chores
onefinestay,http://www.onefinestay.com/,Onefinestay offers handmade hospitality for stays in the finest homes,United Kingdom,London,,Home
onbelle,http://myonbelle.com,"An online platform that allows users to rent a 'personal style package' of designer fashion, wear the clothing as long as they want and return them at their convenience.",Germany,Berlin,2014,Fashion
Oliom,http://oliom.com,Olion is an online laundry services platform that provides a convenient and affordable way to get laundry done while staying in hotels.,United States,Miami Beach,2013,House Chores
OLIO Exchange,http://olioex.com,"OLIO Exchange is a smartphone app which connects neighbours with each other and local shops so that surplus food can be shared €__ either for sale, or for free - not thrown away.",United Kingdom,London,,Cooking
Ofelia Feliz,http://ofeliafeliz.com,"An online marketplace offering creative and handmade goods, encouraging and supporting local designers, artists and entrepreneurs.",Brazil,Sao Paulo,2011,Arts & Crafts
Occasional Butler,http://www.occasionalbutler.com,Occasional Butler introduces users who are skilled and trusted in our community with customers who need odd jobs done around the home or office through an online marketplace.,Australia,Prahran,2012,House Chores
Oakenspoon,http://www.oakenspoon.com,"A peer-to-peer platform connecting gourmet personal chefs with users in Austin, Texas.",United States,Austin,2015,Cooking
Not Impossible,http://impossible.com,"By collaborating with a growing community of creative makers and hackers, Not Impossible utilise crowdsourcing to crowd-solve previously insurmountable healthcare issues.",United Kingdom,London,2013,Education
Nomnom,http://nomnom.hu,"A mobile app and community, which connects people who cooked more than they wanted, with those who want to eat homemade food nearby.",Hungary,Budapest,,Cooking
No Llames Mas,http://nollamesmas.com,No Llames Mas allows users to order food online using local reviews to guide their decision.,Argentina,San Lorenzo,2013,Cooking
Nimber,http://www.nimber.com,A community delivery service that matches people who need to send something with someone that is already travelling that way.,United Kingdom,London,2010,Delivery
Nimbee,http://nimbee.co,"Nimbee is building the sharing economy for personal data, allowing users to sell their personal data whilst earning money.",Switzerland,Zurich,2015,Services
Nightswapping,http://nightswapping.com,An online platform that allows users to host other members to gain free nights and use them to stay for free all over the world.,France,Lyon,2013,Home
NextSeed,http://nextseed.com,A Texas crowdfunding portal that provides a curated marketplace of investment opportunities.,United States,Houston,2014,Finance
Next Door Chores,http://nextdoorchores.com,Next Door Chores is a localised marketplace where people search their communities for skills and services.,United States,Washington D.C.,,House Chores
Net Investing,http://netinvesting.pl,Net Investing provides an alternative source of obtaining financing and investing their own funds with those that have business ideas and seek financing.,Poland,Warsaw,,Finance
Neighborrow,http://beta.neighborrow.com,Online platform providing offline access to things people need to use but don't need to own.,United States,,2008,Marketplace
NeighborGoods,http://neighborgoods.net,A service to allow users to share and borrow physical items with other people in the local area.,United States,Los Angeles,2009,Marketplace
NeedTo,http://needto.com,"NeedTo.com is online platform that allows users to outsource their skills and needs, whether it be hiring a plumber, maid, designer, tutor, or lawyer. Users select offers based on profiles featuring people's' skills, reviews, and experience.",United States,Austin,2012,House Chores
MyTwinPlace,http://mytwinplace.com,"A worldwide community of more than 20,000 travelers in 130 countries who exchange nights at their residence, to get free accommodation at others.",Spain,Barcelona,2012,Home
myShare India,http://myshareindia.com,myShare is an online community that is aimed at creating funds for various charitable organizations by rewarding customer loyalty.,India,Chennai,2012,Education
MyRecycleStuff,http://myrecyclestuff.com,MyRecyclestuff is a social platform that allows users to barter with each other for the exchange of products and items.,France,Paris,2009,Marketplace
myRealTrip,http://myrealtrip.com,"myRealTrip provides an e-commerce service platform for personalized travel, enabling users to determine and prepare for suitable trips offered by locals in Korea.","Korea, Democratic People's Republic of",Seoul,2012,Services
MyCookr,http://mycookr.com,"An online community platform that allows users to share, sell and eat homemade food.",France,Nantes,2013,Cooking
myBestHelper,http://www.mybesthelper.com,"A web and mobile service that helps families find childcare, home care and elder care.",Canada,Vancouver,2011,Kids
My Cute Office,http://mycuteoffice.com,"My Cute Office allows entrepreneurs to find a space to work from at the lowest possible cost, helping start-ups, professionals and freelancers get their first offices without any upfront cost by utilizing unused space of large companies.",India,Mumbai,2014,Business
Much,http://much.rocks,Much is a smartphone app to allow users to exchange console games with other users.,Russian Federation,Moscow,,Marketplace
Mowdo,http://www.mowdo.com,Mowdo matches local mowers and lawn care professionals with neighbors who request lawn care through a smartphone app.,United States,Seattle,2014,House Chores
Mouthful,http://getmouthful.com,A service that allows users to order home cooked foods from home cooks near them.,United States,Mountain View,2015,Cooking
MonkeyParking,http://monkeyparking.co,"MonkeyParking matches those is in need of a parking spot with whoever can provide it including unused driveways, people€__s garages and soon-to-be-vacated street parking spots.",United States,San Francisco,2013,Transport
Money Mola,http://moneymola.com,Money Mola helps users manage loans with friends and family.,United States,Portland,2015,Finance
Monexo Innovations Limited,http://www.monexo.co,An online peer-to-peer lending marketplace with a focus on transparency and convenience through best-in-class technology.,China,Hong Kong,2014,Finance
MODSTER,http://www.modster.com,"MODSTER is an online platform to discover style, where every user is a stylist, allowing them to create looks, follow others and turn their passion for fashion into profit.",United Kingdom,London,2012,Fashion
Model Citizen,http://itsmodelcitizen.com,An invite-only peer-to-peer shopping platform for women to shop each others' closets.,United States,New York City,2013,Fashion
mobypark,http://mobypark.com,"A platform for companies, mobypark allows users to rent out private parking spaces to people that have difficulties to find a parking spot in big cities.",France,Paris,2012,Transport
MoboFree,http://mobofree.com,MoboFree is a mobile social marketplace in Africa.,Lithuania,Vilnius,2011,Marketplace
Mobocars,http://mobocars.com,"An online platform which is created to provide the most convenient peer-to -peer car rental service in Eastern and Western Europe, as well as Russia and the CIS countries.",Latvia,Riga,,Transport
Mobbr Crowd Payments,http://mobbr.com,An online platform that allows users to pay and get paid for tasks and collaborations anywhere on the web.,Netherlands,Delft,2012,House Chores
misterbnb,http://misterbnb.com,misterbnb is the largest gay-friendly hotelier in the world.,United States,San Francisco,2013,Home
MinbilDinbil,http://minbildinbil.dk,"A person-to-person car sharing platform operating in Denmark, and connects our wide network of car owners to rent their vehicles at an affordable price to other people who need a car.",Denmark,Copenhagen,2013,Transport
MiMoto srls,http://mimoto.it,"A mobility company in the process of fundraising that wants to be the first totally green scooter sharing in Italy, and made €__€__in Italy.",Italy,Milan,,Transport
Mila,http://www.mila.com,The location-based marketplace that connects busy people with friendly people from your neighborhood to get your tasks done.,Germany,Berlin,2013,Services
MiGenio,http://www.migenio.com.mx/,"MiGenio is an online platform which makes matches between A's students and average students from the same campus to help them study any subject, anywhere and any time at a low price.",Mexico,Zapopan,,Education
Midpoint,http://www.midpoint.com,A true peer-to-peer international payments platform for any businesses or individual wanting access to fair and transparent FX.,United Kingdom,London,2010,Finance
Mic Check,http://miccheck.co/,Mic Check is an online community for audio recording equipment rentals.,United States,Chicago,2015,Tools & Equipment
MezzeCulture,http://mezzeculture.com,"MezzeCulture is a curated travel guide for experiencing international culture locally, by connecting cultural enthusiasts with US destinations for authentic cultural experiences in their own backyard.",United States,Austin,,Services
Meshtrip,http://meshtrip.com,"MeshTrip.com is an online platform for vacation rentals by in over 50,000 cities around the World, by combining listings from major peer-to-peer travel websites in one single place.",United States,San Francisco,2014,Home
Mentorra,http://mentorra.com,Mentorra is a marketplace for career mentoring and advice.,United States,New York City,2013,Education
Meetly,http://meetly.co,"A peer learning community for learning new things or teaching others what you can do best, whether it's learning how to play the guitar, how to code, or how to make fresh pasta from scratch.",United States,Mountain View,2014,Events
MATERIAL WRLD,http://materialwrld.com,Women send us designer fashions they no longer wear to earn gift cards upfront from top retailers.,United States,New York City,2012,Fashion
MatchPad,http://matchpad.com,MatchPad provides a better solutions to find roommates and apartments.,United States,New York City,2014,Home
Mass Mosaic,http://massmosaic.com,Users on Mass Mosaic simply add anything they want or have - the platform will then match them to those who want to exchange.,United States,New York City,2014,Marketplace
Masinga,http://www.masinga.com,A peer-to-peer car rental platform based in Istanbul.,Turkey,Istanbul,2014,Transport
Marina Shares,http://marinashares.com,"A nautical community, which aims to bring affordable docking and mooring solutions to the boating community through an interactive web-based reservation and mobile application system, with a social media experience.",United States,,,Transport
MapJam,http://mapjam.co.ke,"A web and mobile map publishing platform that allows businesses, organizations, and people to create useful, personalized maps that are easy to share.",Kenya,Nairobi,2012,Events
ManyShip,http://manyship.com,A peer-to-peer social shipping platform connecting people who need things delivered with those traveling who have extra space.,United States,Mountain View,2013,Delivery
Manye Technologies,http://hanchu.co,Hanchu is an Android app that enables peer-to-peer transactions of used console games.,India,Bangalore,2014,Technology
mandii,http://mandii.com,mandii is a marketplace for financiers and borrowers to raise working capital finance for MSMEs.,India,Bangalore,2015,Finance
MamboCar,http://www.mambocar.com,"MamboCar is an online platform that connects travellers with car owners and enables them to hire cars in various Spanish cities such as Madrid, Barcelona, Malaga, Mallorca, and more.",Spain,Madrid,2012,Transport
makexyz,http://makexyz.com,makexyz links people who need something made with 3D printers and designers in their neighborhoods.,United States,Austin,2013,Arts & Crafts
